"HS2","HS2 ID","Section","Section ID","Trade Value","Year"
"Machinery, mechanical appliances, & parts",1684,"Machines",16,1985443739,2013
"Electrical machinery and electronics",1685,"Machines",16,1440166870,2013
"Railway and trams",1786,"Transportation",17,21488601,2013
"Cars, tractors, trucks & parts thereof.",1787,"Transportation",17,1528857766,2013
"Aircraft and spacecraft",1788,"Transportation",17,318135503,2013
"Ships, boats, & floating structures",1789,"Transportation",17,34794925,2013
"Optical, photo, & film equipment; medical instruments",1890,"Instruments",18,273629497,2013
"Clocks, watches, & parts",1891,"Instruments",18,7102230,2013
"Musical instruments",1892,"Instruments",18,1423380,2013
"Weapons",1993,"Weapons",19,6656707,2013
"Furniture, bedding, lamps, & prefab buildings",2094,"Miscellaneous",20,217176187,2013
"Toys, games, & sports",2095,"Miscellaneous",20,21053279,2013
"Misc. manufactures",2096,"Miscellaneous",20,54944547,2013
"Art & antiques",2197,"Arts and Antiques",21,1891584,2013
"Live animals",101,"Animal Products",1,3001045,2014
"Meat & edible offal",102,"Animal Products",1,5474864,2014
"Fish, crustaceans, & molluscs",103,"Animal Products",1,42352606,2014
"Edible products of animal origin, n.e.s.",104,"Animal Products",1,43518883,2014
"Animal originated products, n.e.s.",105,"Animal Products",1,1524013,2014
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Vegetable Products",2,8197231,2014
"Edible vegetables, roots, & tubers",207,"Vegetable Products",2,97886994,2014
"Edible fruits, nuts & fruit peels",208,"Vegetable Products",2,28565635,2014
"Coffee, tea, mate & spices",209,"Vegetable Products",2,205172747,2014
"Cereals",210,"Vegetable Products",2,824107632,2014
"Products of the milling industry",211,"Vegetable Products",2,55755314,2014
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Vegetable Products",2,52686804,2014
"Natural gums, resins & other vegetable extracts",213,"Vegetable Products",2,3072391,2014
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Products",2,559028,2014
"Animal or vegetable fats, oils, & waxes",315,"Animal and Vegetable Bi-Products",3,280935102,2014
"Preparations of fish, crustacenas, & molluscs",416,"Foodstuffs",4,8177345,2014
"Sugars & confectioneries",417,"Foodstuffs",4,146528713,2014
"Cocoa & cocoa preparations",418,"Foodstuffs",4,13204351,2014
"Preparations of cereals, flour, starch or milk",419,"Foodstuffs",4,73990007,2014
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Foodstuffs",4,31152887,2014
"Miscellaneous edible preparations",421,"Foodstuffs",4,63706259,2014
"Beverages, spirits, & vinegar",422,"Foodstuffs",4,85034856,2014
"Food residues & wastes; animal fodder",423,"Foodstuffs",4,59714081,2014
"Tobacco & substitutes",424,"Foodstuffs",4,55752596,2014
"Salt, sulphur, cement, lime, stone, & plaster",525,"Mineral Products",5,105634843,2014
"Ores, slag and ash",526,"Mineral Products",5,5024387,2014
"Mineral fuels, mineral oils and products of their distillation",527,"Mineral Products",5,4790737523,2014
"Inorganic chemicals",628,"Chemical Products",6,177166956,2014
"Organic chemicals",629,"Chemical Products",6,165001069,2014
"Pharmaceutical products",630,"Chemical Products",6,516961076,2014
"Fertilizers",631,"Chemical Products",6,72476933,2014
"Paints, dyes, & varnishes",632,"Chemical Products",6,94559358,2014
"Perfumery & cosmetics",633,"Chemical Products",6,146422035,2014
"Soap, cleaners, candles, dental, modelling pastes",634,"Chemical Products",6,86174808,2014
"Glues, starches, & albuminoid products",635,"Chemical Products",6,24230657,2014
"Explosives, matches, & fireworks",636,"Chemical Products",6,7760626,2014
"Photo & movie goods",637,"Chemical Products",6,9933177,2014
"Chemical products n.e.s.",638,"Chemical Products",6,237078752,2014
"Plastics & articles thereof",739,"Plastics and Rubbers",7,924091981,2014
"Rubber & articles thereof",740,"Plastics and Rubbers",7,247998820,2014
"Raw hides & skin (non-fur)",841,"Animal Hides",8,8375881,2014
"Leather articles",842,"Animal Hides",8,85985145,2014
"Furskins, articifial fur, & articles",843,"Animal Hides",8,95155,2014
"Wood, wood articles, & charcoal",944,"Wood Products",9,55534599,2014
"Cork & cork articles",945,"Wood Products",9,3115057,2014
"Straw & esparto manufactures",946,"Wood Products",9,535787,2014
"Wood pulp & paper scrap",1047,"Paper Goods",10,898478,2014
"Paper articles",1048,"Paper Goods",10,451931527,2014
"Books, newspapers, & other prints",1049,"Paper Goods",10,60592278,2014
"Silk",1150,"Textiles",11,270834,2014
"Wool & animal hair",1151,"Textiles",11,1339102,2014
"Cotton",1152,"Textiles",11,126942933,2014
"Vegetable textile fibers, paper yarn & fabrics",1153,"Textiles",11,4192779,2014
"Man-made filaments",1154,"Textiles",11,182977008,2014
"Man-made staple fibres",1155,"Textiles",11,174752738,2014
"Wadding, felt, nonwovens, twin, ropes, & articles thereof",1156,"Textiles",11,89793718,2014
"Carpets & textile floor covers",1157,"Textiles",11,16610215,2014
"Special woven fabrics and tapestries",1158,"Textiles",11,17685840,2014
"Coated, covered, & laminated fabrics for industrial use",1159,"Textiles",11,31502463,2014
"Knitted fabrics",1160,"Textiles",11,115014368,2014
"Knitted clothing accesories",1161,"Textiles",11,253420805,2014
"Non-knitted clothing accesories",1162,"Textiles",11,321157780,2014
"Used clothes & textile articles",1163,"Textiles",11,289718001,2014
"Footwear",1264,"Footwear and Headwear",12,211574622,2014
