Reporting areas,  Total_cases,Total_death,Jan_case,Jan_death,Feb_case,Feb_death,Mar_case,Mar_death,April_case,April_death,May_case,May_death,June_case,June_death,July_case,July_death,Aug_case,Aug_death,Sep_case,Sep_death,Oct_case,Oct_death,Nov_case,Nov_death,Dec_case,Dec_death
Zone:13,2719,1,49,0,51,0,74,0,100,0,192,1,433,0,628,0,601,0,305,0,162,0,88,0,36,0
Buri Ram,744,1,20,0,18,0,30,0,44,0,63,1,131,0,168,0,130,0,83,0,27,0,19,0,11,0
Chaiyaphum,288,0,3,0,5,0,7,0,5,0,10,0,34,0,96,0,71,0,27,0,10,0,14,0,6,0
Nakhon Ratchasima,1406,0,13,0,8,0,14,0,35,0,92,0,238,0,305,0,352,0,165,0,112,0,54,0,18,0
Surin,281,0,13,0,20,0,23,0,16,0,27,0,30,0,59,0,48,0,30,0,13,0,1,0,1,0
Zone:14,1439,0,46,0,31,0,75,0,124,0,288,0,250,0,294,0,143,0,99,0,50,0,27,0,12,0
Amnat Charoen,81,0,1,0,3,0,7,0,1,0,12,0,27,0,10,0,16,0,3,0,1,0,0,0,0,0
Si Sa Ket,646,0,31,0,14,0,48,0,65,0,143,0,114,0,136,0,33,0,32,0,20,0,10,0,0,0
Ubon Ratchathani,615,0,14,0,12,0,15,0,54,0,110,0,92,0,124,0,77,0,60,0,29,0,17,0,11,0
Yasothon,97,0,0,0,2,0,5,0,4,0,23,0,17,0,24,0,17,0,4,0,0,0,0,0,1,0
South Region,3355,2,192,0,162,0,119,0,131,0,302,1,356,0,369,1,371,0,342,0,309,0,391,0,311,0
Zone:15,836,2,41,0,37,0,19,0,45,0,105,1,97,0,93,1,87,0,91,0,79,0,61,0,81,0
Chumphon,334,0,7,0,13,0,8,0,28,0,66,0,55,0,43,0,34,0,35,0,21,0,15,0,9,0
Ranong,55,1,3,0,3,0,0,0,1,0,3,1,5,0,6,0,5,0,6,0,10,0,6,0,7,0
Surat Thani,447,1,31,0,21,0,11,0,16,0,36,0,37,0,44,1,48,0,50,0,48,0,40,0,65,0
Zone:16,817,0,33,0,23,0,45,0,23,0,62,0,65,0,75,0,65,0,73,0,92,0,145,0,116,0
Nakhon Si Thammarat,393,0,20,0,16,0,26,0,13,0,26,0,25,0,35,0,33,0,30,0,39,0,71,0,59,0
Phatthalung,140,0,10,0,4,0,7,0,2,0,8,0,10,0,14,0,15,0,8,0,15,0,28,0,19,0
Trang,284,0,3,0,3,0,12,0,8,0,28,0,30,0,26,0,17,0,35,0,38,0,46,0,38,0
Zone:17,331,0,15,0,20,0,18,0,29,0,38,0,40,0,32,0,38,0,29,0,17,0,28,0,27,0
Krabi,182,0,9,0,8,0,6,0,9,0,21,0,30,0,19,0,24,0,15,0,7,0,22,0,12,0
