Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
691--Metal Structures & Parts; Iron; Steel; Aluminum,0,0,0,5650,28490,0,0,0,0,0,0,0,0,0,43936
665--Glassware,0,56584,2812,33468,113884,124485,84578,91895,142425,102141,235270,63334,73657,192255,38224
744--Mechanical Handling Equipment,0,14250,5411,123925,0,3623,50097,4820,88800,0,143350,0,22452,0,37756
821--Furniture & Bedding Accessories,23001,70477,74646,80195,170094,54509,61306,77066,104481,126761,86949,55791,45508,224129,34792
752--Automatic Data Process Machines,384156,1930658,596356,327372,907257,342501,44410,712583,148671,102165,380030,133096,80759,15000,33540
772--Electrical Apparatus For Switching Or Protecting,41531,40346,312250,65077,56005,56520,246533,207798,11043,37112,89937,125212,17337,24037,31228
699--Manufactures Of Base Metal,80266,15439,173738,122606,79761,110988,113326,45505,35361,23648,124639,50573,9694,18297,30618
971--Gold; Nonmonetary,0,0,0,120000,0,0,0,0,0,0,0,0,0,0,28000
075--Spices,59980,75698,34211,97019,89764,114093,81447,147308,49069,169732,30326,22006,13680,13836,23636
291--Crude Animal Materials,62056,2720,49076,88099,122101,66699,36997,103259,20245,17428,38768,41079,40733,26204,22311
612--Manufactures Of Leather,5309,24059,49569,23124,16650,21326,53897,9351,11730,28786,60949,139165,85425,108274,21047
694--Nails; Screws; Nuts; Etc;,0,8625,18697,24074,101115,2817,0,0,0,0,5493,40000,0,217077,16313
633--Cork Manufactures,0,0,0,0,0,0,0,0,0,0,4941,13432,15374,13546,15189
747--Taps; Cocks; Valves & Similar Appliances,18680,0,5244,4438,54517,0,116974,20135,191533,0,8340,175570,13975,33809,14210
675--Alloy Steel Flat-Rolled Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12852
629--Articles Of Rubber,3853,352,118849,0,44749,15497,9956,11086,16613,95624,57182,21379,17693,10796,12414
898--Musical Instruments And Accessories,45464,82476,149592,713571,288640,88735,17766,38523,33944,25001,111784,22720,17059,28044,12325
091--Margarine And Shortening,0,0,0,0,0,0,0,0,0,0,0,10918,4568,6666,9752
661--Lime; Cement & Fabricated Construction Materials,121607,119086,46458,28210,72764,40538,28346,35920,22824,12477,9653,9992,17870,11062,8975
657--Special Yarns; Special Textile Fabrics; Etc.,300,103051,2600,8046,0,156134,6702,45633,149578,0,316,2204,87557,251,7920
