HS2,HS2 ID,Section,Section ID,Trade Value,Year
"Preparations of cereals, flour, starch or milk",419,Foodstuffs,4,5406248,2014
"Preparations of vegetables, fruit, nuts or other plant parts",420,Foodstuffs,4,128749455,2014
Miscellaneous edible preparations,421,Foodstuffs,4,51376170,2014
"Beverages, spirits, & vinegar",422,Foodstuffs,4,51732592,2014
Food residues & wastes; animal fodder,423,Foodstuffs,4,14211767,2014
Tobacco & substitutes,424,Foodstuffs,4,101604433,2014
"Salt, sulphur, cement, lime, stone, & plaster",525,Mineral Products,5,134831380,2014
"Ores, slag and ash",526,Mineral Products,5,78645465,2014
"Mineral fuels, mineral oils and products of their distillation",527,Mineral Products,5,730397713,2014
Inorganic chemicals,628,Chemical Products,6,212443036,2014
Organic chemicals,629,Chemical Products,6,6942165,2014
Pharmaceutical products,630,Chemical Products,6,89714326,2014
Fertilizers,631,Chemical Products,6,16271001,2014
"Paints, dyes, & varnishes",632,Chemical Products,6,20249961,2014
Perfumery & cosmetics,633,Chemical Products,6,17486927,2014
"Soap, cleaners, candles, dental, modelling pastes",634,Chemical Products,6,101269868,2014
"Glues, starches, & albuminoid products",635,Chemical Products,6,4738239,2014
"Explosives, matches, & fireworks",636,Chemical Products,6,550986,2014
Photo & movie goods,637,Chemical Products,6,231176,2014
Chemical products n.e.s.,638,Chemical Products,6,18431169,2014
Plastics & articles thereof,739,Plastics and Rubbers,7,114995373,2014
Rubber & articles thereof,740,Plastics and Rubbers,7,13587199,2014
Raw hides & skin (non-fur),841,Animal Hides,8,137968260,2014
Leather articles,842,Animal Hides,8,3250252,2014
"Furskins, articifial fur, & articles",843,Animal Hides,8,238925,2014
"Wood, wood articles, & charcoal",944,Wood Products,9,32685381,2014
Cork & cork articles,945,Wood Products,9,26701,2014
Straw & esparto manufactures,946,Wood Products,9,1962301,2014
Wood pulp & paper scrap,1047,Paper Goods,10,1924820,2014
Paper articles,1048,Paper Goods,10,47899098,2014
"Books, newspapers, & other prints",1049,Paper Goods,10,73284356,2014
Silk,1150,Textiles,11,81551,2014
Wool & animal hair,1151,Textiles,11,4635779,2014
Cotton,1152,Textiles,11,3330123,2014
"Vegetable textile fibers, paper yarn & fabrics",1153,Textiles,11,27422067,2014
Man-made filaments,1154,Textiles,11,612942,2014
Man-made staple fibres,1155,Textiles,11,4680078,2014
"Wadding, felt, nonwovens, twin, ropes, & articles thereof",1156,Textiles,11,2629400,2014
Carpets & textile floor covers,1157,Textiles,11,213675,2014
Special woven fabrics and tapestries,1158,Textiles,11,698633,2014
"Coated, covered, & laminated fabrics for industrial use",1159,Textiles,11,376218,2014
Knitted fabrics,1160,Textiles,11,408568,2014
Knitted clothing accesories,1161,Textiles,11,205662599,2014
Non-knitted clothing accesories,1162,Textiles,11,219440063,2014
Used clothes & textile articles,1163,Textiles,11,12347862,2014
Footwear,1264,Footwear and Headwear,12,26748333,2014
Headgear,1265,Footwear and Headwear,12,449895,2014
"Umbrellas, walking sticks, & whips",1266,Footwear and Headwear,12,297002,2014
"Feather articles, feathers, artificial flowers, & articles of human hair",1267,Footwear and Headwear,12,8284384,2014
"Stone, plaster, cement, asbestos, mica.",1368,Stone And Glass,13,2966793,2014
Ceramic products,1369,Stone And Glass,13,4414295,2014
Glass & glassware,1370,Stone And Glass,13,11683301,2014
"Precious stones, metals, & pearls",1471,Precious Metals,14,43025848,2014
Iron & steel,1572,Metals,15,90946419,2014
Iron or steel articles,1573,Metals,15,41255201,2014
Copper articles,1574,Metals,15,46493546,2014
Nickel articles,1575,Metals,15,14138,2014
Aluminum articles,1576,Metals,15,40562506,2014
Lead articles,1578,Metals,15,2311891,2014
Zinc articles,1579,Metals,15,1457256,2014
Tin articles,1580,Metals,15,152406,2014
Cermet articles,1581,Metals,15,400515,2014
Tools & cutlery,1582,Metals,15,3768501,2014
Miscellaneous metal products,1583,Metals,15,19738938,2014
"Machinery, mechanical appliances, & parts",1684,Machines,16,108200109,2014
Electrical machinery and electronics,1685,Machines,16,63320552,2014
Railway and trams,1786,Transportation,17,2399911,2014
"Cars, tractors, trucks & parts thereof.",1787,Transportation,17,55882174,2014
Aircraft and spacecraft,1788,Transportation,17,37104650,2014
"Ships, boats, & floating structures",1789,Transportation,17,4002846,2014
"Optical, photo, & film equipment; medical instruments",1890,Instruments,18,22465923,2014
"Clocks, watches, & parts",1891,Instruments,18,177123,2014
Musical instruments,1892,Instruments,18,96823,2014
Weapons,1993,Weapons,19,777,2014
"Furniture, bedding, lamps, & prefab buildings",2094,Miscellaneous,20,22236124,2014
"Toys, games, & sports",2095,Miscellaneous,20,15050516,2014
