"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52530,"Other Mineral",6100799
5,"Mineral Products",526,"Ores, slag and ash",52601,"Iron Ore",5298209
5,"Mineral Products",526,"Ores, slag and ash",52602,"Manganese Ore",17958187
5,"Mineral Products",526,"Ores, slag and ash",52603,"Copper Ore",1734774.9999999998
5,"Mineral Products",526,"Ores, slag and ash",52606,"Aluminium Ore",41117
5,"Mineral Products",526,"Ores, slag and ash",52607,"Lead Ore",10815
5,"Mineral Products",526,"Ores, slag and ash",52608,"Zinc Ore",1195
5,"Mineral Products",526,"Ores, slag and ash",52609,"Tin Ores",582872
5,"Mineral Products",526,"Ores, slag and ash",52610,"Chromium Ore",22739
5,"Mineral Products",526,"Ores, slag and ash",52614,"Titanium Ore",289848082
5,"Mineral Products",526,"Ores, slag and ash",52615,"Niobium, Tantalum, Vanadium and Zirconium Ore",62083598
5,"Mineral Products",526,"Ores, slag and ash",52616,"Precious Metal Ore",1019060
5,"Mineral Products",526,"Ores, slag and ash",52617,"Other Ores",12912446
5,"Mineral Products",526,"Ores, slag and ash",52618,"Granulated Slag",1580356.0000000002
5,"Mineral Products",526,"Ores, slag and ash",52620,"Non-Iron and Steel Slag, Ash and Residues",9859058
5,"Mineral Products",526,"Ores, slag and ash",52621,"Other Slag and Ash",5942.999999999999
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52701,"Coal Briquettes",1272789
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52702,"Lignite",497.00000000000006
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52703,"Peat",120949
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52704,"Coke",119.00000000000001
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52705,"Non-Petroleum Gas",70047
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52707,"Coal Tar Oil",17844
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",13614409
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",69574232
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",1754566
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52712,"Petroleum Jelly",3384023
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52713,"Petroleum Coke",251557
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52714,"Bitumen and asphalt",276347
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52715,"Asphalt Mixtures",445031
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52716,"Electricity",2178924
6,"Chemical Products",628,"Inorganic chemicals",62801,"Halogens",979976
6,"Chemical Products",628,"Inorganic chemicals",62803,"Carbon",92563
6,"Chemical Products",628,"Inorganic chemicals",62804,"Hydrogen",619940
6,"Chemical Products",628,"Inorganic chemicals",62805,"Alkaline Metals",35952
6,"Chemical Products",628,"Inorganic chemicals",62806,"Hydrochloric Acid",110103.00000000001
6,"Chemical Products",628,"Inorganic chemicals",62807,"Sulfuric Acid",3644908
6,"Chemical Products",628,"Inorganic chemicals",62808,"Nitric Acids",105779
6,"Chemical Products",628,"Inorganic chemicals",62809,"Phosphoric Acid",163928
6,"Chemical Products",628,"Inorganic chemicals",62810,"Boron",141274
6,"Chemical Products",628,"Inorganic chemicals",62811,"Other Inorganic Acids",6666164
6,"Chemical Products",628,"Inorganic chemicals",62814,"Ammonia",247120
6,"Chemical Products",628,"Inorganic chemicals",62815,"Sodium or Potassium Peroxides",289751
6,"Chemical Products",628,"Inorganic chemicals",62816,"Magnesium Hydroxide and Peroxide",618
6,"Chemical Products",628,"Inorganic chemicals",62817,"Zinc Oxide and Peroxide",45066
6,"Chemical Products",628,"Inorganic chemicals",62818,"Aluminium Oxide",22620
6,"Chemical Products",628,"Inorganic chemicals",62819,"Chromium Oxides and Hydroxides",610
6,"Chemical Products",628,"Inorganic chemicals",62820,"Manganese Oxides",218
6,"Chemical Products",628,"Inorganic chemicals",62821,"Iron Oxides and Hydroxides",367227
6,"Chemical Products",628,"Inorganic chemicals",62822,"Cobalt Oxides and Hydroxides",14364
6,"Chemical Products",628,"Inorganic chemicals",62823,"Titanium Oxides",238811
6,"Chemical Products",628,"Inorganic chemicals",62824,"Lead Oxides",78363
6,"Chemical Products",628,"Inorganic chemicals",62825,"Inorganic Salts",70673
6,"Chemical Products",628,"Inorganic chemicals",62826,"Fluorides",4955
6,"Chemical Products",628,"Inorganic chemicals",62827,"Chlorides",428404
6,"Chemical Products",628,"Inorganic chemicals",62828,"Hypochlorites",625122
6,"Chemical Products",628,"Inorganic chemicals",62829,"Chlorates and Perchlorates",293
6,"Chemical Products",628,"Inorganic chemicals",62830,"Sulfides",13461
6,"Chemical Products",628,"Inorganic chemicals",62831,"Dithionites and Sulfoxylates",5916
6,"Chemical Products",628,"Inorganic chemicals",62832,"Sulfites",23056
6,"Chemical Products",628,"Inorganic chemicals",62833,"Sulfates",3441601
6,"Chemical Products",628,"Inorganic chemicals",62834,"Nitrites and Nitrates",12643
6,"Chemical Products",628,"Inorganic chemicals",62835,"Phosphinates (hypophosphites) and phosphonates (phosphites)",294203
6,"Chemical Products",628,"Inorganic chemicals",62836,"Carbonates",102994568
6,"Chemical Products",628,"Inorganic chemicals",62837,"Cyanides",9349
6,"Chemical Products",628,"Inorganic chemicals",62839,"Silicates",7574561
6,"Chemical Products",628,"Inorganic chemicals",62840,"Borates",6768
6,"Chemical Products",628,"Inorganic chemicals",62841,"Oxometallic or Peroxometallic Acid Salts",32421
6,"Chemical Products",628,"Inorganic chemicals",62842,"Other Inorganic Acids Salts",6309
6,"Chemical Products",628,"Inorganic chemicals",62843,"Precious Metal Compounds",926
6,"Chemical Products",628,"Inorganic chemicals",62844,"Radioactive Chemicals",1714
6,"Chemical Products",628,"Inorganic chemicals",62846,"Rare-Earth Metal Compounds",38754
6,"Chemical Products",628,"Inorganic chemicals",62847,"Hydrogen peroxide",90983
6,"Chemical Products",628,"Inorganic chemicals",62849,"Carbides",579
6,"Chemical Products",628,"Inorganic chemicals",62851,"Inorganic Compounds",37121
6,"Chemical Products",629,"Organic chemicals",62901,"Acyclic Hydrocarbons",178275
6,"Chemical Products",629,"Organic chemicals",62902,"Cyclic Hydrocarbons",414862
6,"Chemical Products",629,"Organic chemicals",62903,"Halogenated Hydrocarbons",166280
6,"Chemical Products",629,"Organic chemicals",62904,"Sulfonated, Nitrated or Nitrosated Hydrocarbons",56775
6,"Chemical Products",629,"Organic chemicals",62905,"Acyclic Alcohols",317184
6,"Chemical Products",629,"Organic chemicals",62906,"Cyclic Alcohols",12435
6,"Chemical Products",629,"Organic chemicals",62907,"Phenols",10192
6,"Chemical Products",629,"Organic chemicals",62908,"Phenol Derivatives",23667
6,"Chemical Products",629,"Organic chemicals",62909,"Ethers",224485
6,"Chemical Products",629,"Organic chemicals",62912,"Aldehydes",132770
6,"Chemical Products",629,"Organic chemicals",62914,"Ketones and Quinones",81330
6,"Chemical Products",629,"Organic chemicals",62915,"Saturated Acyclic Monocarboxylic Acids",5072240
6,"Chemical Products",629,"Organic chemicals",62916,"Unsaturated Acyclic Monocarboxylic Acids",140227
6,"Chemical Products",629,"Organic chemicals",62917,"Polycarboxylic Acids",29812
6,"Chemical Products",629,"Organic chemicals",62918,"Carboxylic Acids",409595
6,"Chemical Products",629,"Organic chemicals",62920,"Other Esters",52664
6,"Chemical Products",629,"Organic chemicals",62921,"Amine Compounds",92319
6,"Chemical Products",629,"Organic chemicals",62922,"Oxygen Amino Compounds",122526
6,"Chemical Products",629,"Organic chemicals",62923,"Quaternary Ammonium Salts and Hydroxides",32687
6,"Chemical Products",629,"Organic chemicals",62924,"Carboxyamide Compounds",49621
