"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Animal or vegetable fats, oils, & waxes",315,"Pig and Poultry Fat",31501,"Animal and Vegetable Bi-Products",3,552,2012
"Animal or vegetable fats, oils, & waxes",315,"Bovine, Sheep, and Goat Fat",31502,"Animal and Vegetable Bi-Products",3,18775,2012
"Animal or vegetable fats, oils, & waxes",315,"Lard stearin and oils",31503,"Animal and Vegetable Bi-Products",3,55817,2012
"Animal or vegetable fats, oils, & waxes",315,"Fish oil",31504,"Animal and Vegetable Bi-Products",3,42672,2012
"Animal or vegetable fats, oils, & waxes",315,"Wool Grease",31505,"Animal and Vegetable Bi-Products",3,729228,2012
"Animal or vegetable fats, oils, & waxes",315,"Soybean Oil",31507,"Animal and Vegetable Bi-Products",3,1061151,2012
"Animal or vegetable fats, oils, & waxes",315,"Ground Nut Oil",31508,"Animal and Vegetable Bi-Products",3,24230,2012
"Animal or vegetable fats, oils, & waxes",315,"Pure Olive Oil",31509,"Animal and Vegetable Bi-Products",3,1790541,2012
"Animal or vegetable fats, oils, & waxes",315,"Olive Oil",31510,"Animal and Vegetable Bi-Products",3,154174,2012
"Animal or vegetable fats, oils, & waxes",315,"Palm Oil",31511,"Animal and Vegetable Bi-Products",3,199345944,2012
"Animal or vegetable fats, oils, & waxes",315,"Seed Oils",31512,"Animal and Vegetable Bi-Products",3,3569786,2012
"Animal or vegetable fats, oils, & waxes",315,"Coconut Oil",31513,"Animal and Vegetable Bi-Products",3,1548539,2012
"Animal or vegetable fats, oils, & waxes",315,"Rapeseed Oil",31514,"Animal and Vegetable Bi-Products",3,248867,2012
"Animal or vegetable fats, oils, & waxes",315,"Other Pure Vegetable Oils",31515,"Animal and Vegetable Bi-Products",3,16059503,2012
"Animal or vegetable fats, oils, & waxes",315,"Other Vegetable Oils",31516,"Animal and Vegetable Bi-Products",3,12988315,2012
"Animal or vegetable fats, oils, & waxes",315,"Margarine",31517,"Animal and Vegetable Bi-Products",3,780683,2012
"Animal or vegetable fats, oils, & waxes",315,"Inedible Fats and Oils",31518,"Animal and Vegetable Bi-Products",3,261048,2012
"Animal or vegetable fats, oils, & waxes",315,"Stearic Acid",31519,"Animal and Vegetable Bi-Products",3,25247670,2012
"Animal or vegetable fats, oils, & waxes",315,"Glycerol",31520,"Animal and Vegetable Bi-Products",3,2084182,2012
"Animal or vegetable fats, oils, & waxes",315,"Vegetable waxes and beeswax",31521,"Animal and Vegetable Bi-Products",3,996195,2012
"Animal or vegetable fats, oils, & waxes",315,"Fat and Oil Residues",31522,"Animal and Vegetable Bi-Products",3,115794,2012
"Preparations of fish, crustacenas, & molluscs",416,"Sausages",41601,"Foodstuffs",4,272835,2012
"Preparations of fish, crustacenas, & molluscs",416,"Other Prepared Meat",41602,"Foodstuffs",4,2210324,2012
"Preparations of fish, crustacenas, & molluscs",416,"Animal Extracts",41603,"Foodstuffs",4,297,2012
"Preparations of fish, crustacenas, & molluscs",416,"Processed Fish",41604,"Foodstuffs",4,5264701,2012
"Preparations of fish, crustacenas, & molluscs",416,"Processed Crustaceans",41605,"Foodstuffs",4,8163,2012
"Sugars & confectioneries",417,"Raw Sugar",41701,"Foodstuffs",4,214055919,2012
"Sugars & confectioneries",417,"Other Sugars",41702,"Foodstuffs",4,12086962,2012
"Sugars & confectioneries",417,"Molasses",41703,"Foodstuffs",4,1239735,2012
"Sugars & confectioneries",417,"Confectionery Sugar",41704,"Foodstuffs",4,6475291,2012
"Cocoa & cocoa preparations",418,"Cocoa Beans",41801,"Foodstuffs",4,51003,2012
"Cocoa & cocoa preparations",418,"Cocoa Paste",41803,"Foodstuffs",4,25831,2012
"Cocoa & cocoa preparations",418,"Cocoa Butter",41804,"Foodstuffs",4,12286,2012
"Cocoa & cocoa preparations",418,"Cocoa Powder",41805,"Foodstuffs",4,3711173,2012
"Cocoa & cocoa preparations",418,"Chocolate",41806,"Foodstuffs",4,6959273,2012
"Preparations of cereals, flour, starch or milk",419,"Malt Extract",41901,"Foodstuffs",4,17548367,2012
"Preparations of cereals, flour, starch or milk",419,"Pasta",41902,"Foodstuffs",4,19070575,2012
"Preparations of cereals, flour, starch or milk",419,"Tapioca",41903,"Foodstuffs",4,2577956,2012
"Preparations of cereals, flour, starch or milk",419,"Prepared Cereals",41904,"Foodstuffs",4,14708069,2012
"Preparations of cereals, flour, starch or milk",419,"Baked Goods",41905,"Foodstuffs",4,20578456,2012
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Pickled Foods",42001,"Foodstuffs",4,240939,2012
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Processed Tomatoes",42002,"Foodstuffs",4,9843709,2012
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Processed Mushrooms",42003,"Foodstuffs",4,251780,2012
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Frozen Vegetables",42004,"Foodstuffs",4,344477,2012
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Processed Vegetables",42005,"Foodstuffs",4,3474103,2012
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Sugar Preserved Foods",42006,"Foodstuffs",4,97265,2012
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Jams",42007,"Foodstuffs",4,1363068,2012
